care_responsibility,metric,percentage
I am already doing this,Heard at least a little,34.5
I am already doing this,Realistic,50.9
I am already doing this,Enthusiastic,31.4
I am already doing this,Worried,61.5
I am already doing this,Would use,40.5
I am already doing this,Camera feels better,47.2
I am already doing this,More independent,56.8
I am already doing this,More isolated,54.7
Very likely,Heard at least a little,36.7
Very likely,Realistic,60.7
Very likely,Enthusiastic,45.9
Very likely,Worried,53.0
Very likely,Would use,42.6
Very likely,Camera feels better,53.0
Very likely,More independent,63.1
Very likely,More isolated,69.6
Somewhat likely,Heard at least a little,33.3
Somewhat likely,Realistic,63.1
Somewhat likely,Enthusiastic,47.4
Somewhat likely,Worried,36.9
Somewhat likely,Would use,41.9
Somewhat likely,Camera feels better,43.3
Somewhat likely,More independent,56.4
Somewhat likely,More isolated,56.9
Not too likely,Heard at least a little,36.5
Not too likely,Realistic,61.7
Not too likely,Enthusiastic,45.6
Not too likely,Worried,43.2
Not too likely,Would use,40.0
Not too likely,Camera feels better,45.6
Not too likely,More independent,60.2
Not too likely,More isolated,64.1
Not at all likely,Heard at least a little,29.6
Not at all likely,Realistic,49.6
Not at all likely,Enthusiastic,38.6
Not at all likely,Worried,43.7
Not at all likely,Would use,35.9
Not at all likely,Camera feels better,44.6
Not at all likely,More independent,54.5
Not at all likely,More isolated,62.4
