weight,care_responsibility,heard_before,realistic,enthusiastic,worried,willing_to_use,less_worried_about_family_care,society_saves_money,treat_robot_like_friend,older_adults_more_isolated,older_adults_more_independent,only_for_people_who_cannot_afford_human_caregiver,camera_human_operator,positive_reason_1,positive_reason_2,positive_reason_3,negative_reason_1,negative_reason_2
0.1754405,Very likely,,,,,,,,,,,,,,,,,
0.4143862,Not too likely,,,,,,,,,,,,,,,,,
0.4297348,Not too likely,,,,,,,,,,,,,,,,,
1.8143145,Very likely,Nothing at all,Not very realistic,Not at all enthusiastic,Somewhat worried,No,"Yes, likely","No, not likely","No, not likely","Yes, likely","No, not likely","Yes, likely",Better,,,,Human factor lacking,
0.1628454,Very likely,A little,Somewhat realistic,Not too enthusiastic,Somewhat worried,No,"Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely",No difference,,,,Human factor lacking,
1.8824935,Not at all likely,,,,,,,,,,,,,,,,,
1.0201364,Very likely,Nothing at all,Not very realistic,Not too enthusiastic,Somewhat worried,No,"Yes, likely","No, not likely","Yes, likely","Yes, likely","No, not likely","Yes, likely",Better,,,,Caregiving is family's job,
0.5271657,Very likely,,,,,,,,,,,,,,,,,
0.2803046,Very likely,Nothing at all,Not very realistic,Not too enthusiastic,Not too worried,No,"Yes, likely","No, not likely","Yes, likely","Yes, likely","Yes, likely","No, not likely",No difference,,,,Human factor lacking,
0.8635783,Somewhat likely,,,,,,,,,,,,,,,,,
0.1965839,Not at all likely,Nothing at all,Not at all realistic,Not at all enthusiastic,Very worried,No,"Yes, likely","No, not likely","No, not likely","Yes, likely","No, not likely","Yes, likely",No difference,,,,Human factor lacking,
0.3006403,Very likely,,,,,,,,,,,,,,,,,
0.5913982,I am already doing this,,,,,,,,,,,,,,,,,
1.967789,Very likely,Nothing at all,Somewhat realistic,Not at all enthusiastic,Very worried,No,"Yes, likely","No, not likely","No, not likely","Yes, likely","No, not likely","Yes, likely",No difference,,,,Human factor lacking,
0.6087248,I am already doing this,Nothing at all,Not very realistic,Not at all enthusiastic,Not too worried,No,"Yes, likely","No, not likely","Yes, likely","Yes, likely","Yes, likely","No, not likely",No difference,,,,Human factor lacking,
0.1234189,Somewhat likely,,,,,,,,,,,,,,,,,
0.3569566,Very likely,Nothing at all,Extremely realistic,Somewhat enthusiastic,Somewhat worried,Yes,"Yes, likely","Yes, likely","Yes, likely","Yes, likely","No, not likely","Yes, likely",Better,Reduce burden on family,,,,
0.7061796,Not at all likely,A lot,Extremely realistic,Very enthusiastic,Not too worried,Yes,"Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely","Yes, likely",Better,Better quality of care,,,,
0.1129675,Somewhat likely,A little,Somewhat realistic,Somewhat enthusiastic,Not at all worried,Yes,"Yes, likely","Yes, likely","Yes, likely","No, not likely","Yes, likely","No, not likely",Better,Reduce burden on family,,,,
0.1367536,I am already doing this,,,,,,,,,,,,,,,,,
