reason,stance,percentage,weighted_count
Human factor lacking,Would not use,53.9,643.7487414
Refused / No answer,Would not use,14.9,178.2367152
Worried about errors,Would not use,11.7,140.0873799
Just don't like it,Would not use,8.0,95.24469260000001
Other,Would not use,7.5,89.0130097
Caregiving is family's job,Would not use,5.8,69.66761580000001
Cost,Would not use,1.7,20.7525753
7.0,Would not use,0.6,6.6246293
Not advanced enough yet,Would not use,0.3,3.4993498
Better quality of care,Would use,21.2,176.9095678
Reduce burden on family,Would use,21.1,176.5807321
Refused / No answer,Would use,16.1,134.6957143
Greater independence,Would use,15.3,127.6343945
Other,Would use,12.2,102.1984598
Always available,Would use,7.5,62.3715609
Save money,Would use,5.4,45.3205049
Safety / Security,Would use,5.2,43.4499656
Companion,Would use,3.4,28.516700699999998
Household assistance,Would use,2.6,21.6498154
Good for those with no family nearby,Would use,2.5,21.1096763
Cool factor,Would use,2.0,16.8174831
Can do physically challenging tasks,Would use,0.7,5.7397051
